Gmt time,Open,High,Low,Close,Volume
06.01.2026 14:05:00.000,93800,93999,93778.11,93957.21,102.38988
06.01.2026 14:10:00.000,93957.21,94177.83,93957.21,94092.62,233.15509
06.01.2026 14:15:00.000,94092.62,94200,94041.98,94149.03,184.32817
06.01.2026 14:20:00.000,94149.03,94444.44,94111.12,94353.92,199.93443
06.01.2026 14:25:00.000,94353.92,94376.36,94244.27,94319.85,98.65542
06.01.2026 14:30:00.000,94319.85,94324,94005.94,94055.4,167.51624
06.01.2026 14:35:00.000,94055.4,94301.82,94019.45,94255,94.97756
06.01.2026 14:40:00.000,94255,94348.19,94067.4,94087.1,88.39528
06.01.2026 14:45:00.000,94087.11,94153.07,93616.06,93855.71,195.99521
06.01.2026 14:50:00.000,93855.72,94099.71,93640.6,93732.78,146.92811
06.01.2026 14:55:00.000,93732.79,93886.76,93531.28,93836.81,113.35704
06.01.2026 15:00:00.000,93836.81,93857.59,93700,93772.9,79.86679
06.01.2026 15:05:00.000,93772.89,93954.07,93710.15,93906.49,78.77444
06.01.2026 15:10:00.000,93906.49,93962.19,93700,93756,102.81597
